,,,,,,,,,,,,,
,,,,,,,,,,,,,
Variable-Veh 1 Color,Variable-Veh 1 Distance,Variable-Veh 1 Speed,Variable-Veh 1 Deviation,Variable-Veh 1 Integral,Variable-Veh 1 Derivative,Variable-Veh 1 angle,Variable-Veh 2 Color,Variable-Veh 2 Distance,Variable-Veh 2 Speed,Variable-Veh 2 Deviation,Variable-Veh 2 Integral,Variable-Veh 2 Derivative,Variable-Veh 2 angle
51,1408,130,13.5,13.5,-11,1.25,62,1767,139.6195394,22,22,-6,12.4
6,2063,130,-31.5,0,-45,-35.1,68,1746,146.6005164,28,50,6,24.8
7,2072,130,-30.5,-30.5,1,-14.75,68,1718,153.9305422,28,78,0,24.6
67,2047,130,29.5,0,60,41.8,68,1702,161.6270693,28,106,0,27.4
73,1366,130,35.5,35.5,6,20.75,71,1672,90,31,137,3,33.8
7,2550,130,-30.5,0,-66,-45.2,77,1638,90,37,174,6,42.6
5,2382,130,-32.5,-32.5,-2,-17.25,75,1633,90,35,209,-2,40.9
47,2340,130,9.5,0,42,24.8,72,1619,90,32,241,-3,41.8
61,2550,130,23.5,23.5,14,18.75,62,1089,90,22,263,-10,34.5
26,1280,130,-11.5,0,-35,-22.1,14,1076,90,-26,0,-48,-39.6
18,1250,130,-19.5,-19.5,-8,-13.75,5,1093,94.5,-35,-35,-9,-29
73,2550,130,35.5,0,55,41.7,60,1076,99.225,20,0,55,39.5
71,2230,130,33.5,33.5,-2,15.75,72,326,90,32,32,12,28.4
64,2230,130,26.5,60,-7,13.1,70,1173,94.5,30,62,-2,23.2
67,2227,130,29.5,89.5,3,22.25,66,2550,99.225,26,88,-4,22.4
71,2227,130,33.5,123,4,27.7,39,362,104.18625,-1,0,-27,-14.1
74,336,80,36.5,159.5,3,32.05,11,2304,109.3955625,-29,-29,-28,-34.3
78,2163,80.5,40.5,200,4,38.2,19,2550,114.8653406,-21,-50,8,-13.6
78,1122,81,40.5,240.5,0,40.25,62,1138,120.6086077,22,0,43,34.7
80,1114,81.5,42.5,283,2,46.3,66,2550,126.639038,26,26,4,20.2
80,1062,82,42.5,325.5,0,49.55,56,1525,132.9709899,16,42,-10,8.8
32,1080,82.5,-5.5,0,-48,-26.2,26,1119,139.6195394,-14,0,-30,-23.4
5,1076,83,-32.5,-32.5,-27,-29.75,12,2550,146.6005164,-28,-28,-14,-26.6
