,,,,,,,,,,,,,
,,,,,,,,,,,,,
 Veh 1 Color, Veh 1 Speed, Veh 1 Distance, Veh 1 Deviation, Veh 1 Integral, Veh 1 Derivative, Veh 1 Angle, Veh 2 Color, Veh 2 Speed, Veh 2 Distance, Veh 2 Deviation, Veh 2 Integral, Veh 2 Derivative, Veh 2 Angle
61,90,383,23.5,67.5,0,16.15,25,120.6086077,500,-15,-15,-7,-14
56,90.5,1265,18.5,86,-5,13.5,62,126.639038,490,22,0,37,31.7
56,91,1253,18.5,104.5,0,17.85,59,132.9709899,481,19,19,-3,11.8
58,91.5,1267,20.5,125,2,21.7,14,139.6195394,483,-26,0,-45,-38.1
61,92,2456,23.5,148.5,3,25.75,44,146.6005164,510,4,0,30,17.4
63,92.5,2550,25.5,174,2,28.6,55,153.9305422,536,15,15,11,16
41,93,2550,3.5,0,-22,-9.6,28,161.6270693,460,-12,0,-27,-20.7
49,93.5,2550,11.5,11.5,8,9.75,42,165,437,2,0,14,8.2
70,94,2550,32.5,44,21,27.9,45,165,464,5,0,3,4.5
72,94.5,1468,34.5,78.5,2,22.65,39,165,454,-1,0,-6,-3.6
43,95,2550,5.5,0,-29,-12.3,34,165,424,-6,0,-5,-6.1
46,95.5,1443,8.5,0,3,4.9,45,165,403,5,0,11,8.5
61,96,2550,23.5,23.5,15,19.25,41,165,401,1,0,-4,-1.4
61,96.5,1366,23.5,47,0,14.1,37,165,384,-3,0,-4,-3.8
50,97,1362,12.5,59.5,-11,5.45,44,165,374,4,0,7,5.9
58,97.5,2550,20.5,80,8,20.2,40,165,361,0,0,-4,-2
56,98,2550,18.5,98.5,-2,16.25,45,165,338,5,0,5,5.5
47,98.5,2550,9.5,0,-9,-0.7,42,90,328,2,0,-3,-0.3
54,99,2550,16.5,16.5,7,11.75,42,90,326,2,0,0,1.2
68,99.5,2550,30.5,47,14,23.9,34,90,321,-6,0,-8,-7.6
66,100,2550,28.5,75.5,-2,17.95,39,90,326,-1,0,5,1.9
64,100.5,2550,26.5,102,-2,19.8,44,90,326,4,0,5,4.9
59,101,2550,21.5,123.5,-5,18.45,42,94.5,338,2,0,-2,0.2
53,101.5,2550,15.5,139,-6,17.1,38,90,330,-2,0,-4,-3.2
51,102,2550,13.5,152.5,-2,19.65,43,94.5,429,3,0,5,4.3
61,102.5,2550,23.5,176,10,32,41,99.225,349,1,0,-2,-0.4
57,103,2550,19.5,195.5,-4,25.35,41,104.18625,345,1,0,0,0.6
29,103.5,2550,-8.5,0,-28,-17.4,43,109.3955625,345,3,0,2,2.8
37,104,2550,-0.5,0,8,3.8,64,114.8653406,345,24,24,21,27.3
58,104.5,2550,20.5,0,21,18.7,50,120.6086077,429,10,34,-14,2.4
53,105,2550,15.5,15.5,-5,5.25,44,126.639038,383,4,0,-6,-0.6
47,105.5,2550,9.5,0,-6,0.8,64,132.9709899,391,24,24,20,26.8
49,106,2550,11.5,11.5,2,6.75,64,139.6195394,364,24,48,0,19.2
44,106.5,2550,6.5,0,-5,0.1,65,146.6005164,362,25,73,1,22.8
43,107,2550,5.5,0,-1,1.7,64,153.9305422,372,24,97,-1,23.6
49,107.5,2550,11.5,11.5,6,8.75,64,161.6270693,2457,24,121,0,26.5
54,108,2550,16.5,28,5,11.9,68,90,326,28,149,4,33.7
47,108.5,2550,9.5,0,-7,0.3,74,90,347,34,183,6,41.7
34,109,2550,-3.5,0,-13,-7.9,52,90,321,12,195,-22,15.7
36,109.5,2550,-1.5,0,2,0.4,13,90,321,-27,0,-39,-35.7
44,110,2550,6.5,0,8,6.6,74,90,321,34,0,61,50.9
43,90,395,5.5,0,-1,1.7,74,90,321,34,34,0,23.8
32,90,348,-5.5,0,-11,-7.7,11,90,321,-29,0,-63,-48.9
33,90,336,-4.5,0,1,-1.3,25,90,321,-15,-15,14,-3.5
49,90,326,11.5,0,16,12.6,67,94.5,1377,27,0,42,37.2
42,90,326,4.5,0,-7,-1.7,65,99.225,2550,25,25,-2,16.5
30,90,321,-7.5,0,-12,-9,62,104.18625,372,22,47,-3,16.4
36,90,326,-1.5,0,6,2.4,64,109.3955625,391,24,71,2,22.5
40,90,326,2.5,0,4,3,67,114.8653406,391,27,98,3,27.5
36,89,542,-1.5,0,-4,-2.6,57,120.6086077,349,17,115,-10,16.7
32,89,326,-5.5,0,-4,-4.2,57,90,326,17,132,0,23.4
38,89,326,0.5,0,6,3.2,52,90,321,12,144,-5,19.1
34,88,412,-3.5,0,-4,-3.4,25,90,321,-15,0,-27,-22.5
34,87,412,-3.5,0,0,-1.4,66,90,326,26,0,41,36.1
36,87.5,2222,-1.5,0,2,0.4,69,90,330,29,29,3,21.8
40,88,2201,2.5,0,4,3,57,90,321,17,46,-12,8.8
40,88.5,2181,2.5,0,0,1,67,90,321,27,73,10,28.5
42,89,1395,4.5,0,2,2.8,66,90,321,26,99,-1,25
33,89.5,823,-4.5,0,-9,-6.3,37,90,305,-3,0,-29,-16.3
38,90,1309,0.5,0,5,2.7,58,90,308,18,0,21,21.3
42,90.5,2122,4.5,0,4,3.8,57,90,308,17,17,-1,11.4
32,91,2101,-5.5,0,-10,-7.2,38,90,322,-2,0,-19,-10.7
36,91.5,2090,-1.5,0,4,1.4,47,90,322,7,0,9,8.7
36,92,2072,-1.5,0,0,-0.6,56,90,308,16,16,9,15.7
36,92.5,2056,-1.5,0,0,-0.6,45,90,298,5,0,-11,-2.5
38,93,2034,0.5,0,2,1.2,39,90,320,-1,0,-6,-3.6
41,93.5,2028,3.5,0,3,2.9,46,90,302,6,0,7,7.1
40,94,2013,2.5,0,-1,0.5,46,90,302,6,0,0,3.6
44,94.5,1992,6.5,0,4,4.6,40,90,320,0,0,-6,-3
